PassengerId,Pclass,Age,Fare,familySize,motherOrNot,encodeSex,lableEncodeEmbark,cabinAlpha_A,cabinAlpha_B,cabinAlpha_C,cabinAlpha_D,cabinAlpha_E,cabinAlpha_F,cabinAlpha_G,cabinAlpha_K,title_Capt,title_Master,title_Miss,title_Mr,title_Mrs,FareCategorise_veryLow,FareCategorise_low,FareCategorise_high,FareCategorise_veryHigh,ageState_Adult,ageState_Child,Survived
1,3,22.0,7.25,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
2,1,38.0,71.2833,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
3,3,26.0,7.925,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
4,1,35.0,53.1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
5,3,35.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
6,3,26.07558844241914,8.4583,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
7,1,54.0,51.8625,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
8,3,2.0,21.075,5,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
9,3,27.0,11.1333,3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
10,2,14.0,30.0708,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
11,3,4.0,16.7,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
12,1,58.0,26.55,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
13,3,20.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
14,3,39.0,31.275,7,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
15,3,14.0,7.8542,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
16,2,55.0,16.0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
17,3,2.0,29.125,6,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
18,2,28.719138838163033,13.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
19,3,31.0,18.0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
20,3,18.325283702003468,7.225,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
21,2,35.0,26.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
22,2,34.0,13.0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
23,3,15.0,8.0292,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
24,1,28.0,35.5,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
25,3,8.0,21.075,5,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
26,3,38.0,31.3875,7,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1
27,3,26.090490193651384,7.225,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
28,1,19.0,263.0,6,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
29,3,18.317379116212393,7.8792,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
30,3,26.082385032922776,7.8958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
31,1,40.0,27.7208,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
32,1,35.0837751498574,146.5208,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
33,3,18.318940217533402,7.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
34,2,66.0,10.5,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
35,1,28.0,82.1708,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
36,1,42.0,52.0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
